
Type: drawable-hdpi
brick_3h_gold.9.png 111x190
brick_3h_green.9.png 111x190
brick_3h_olive.9.png 111x190
brick_3h_orange.9.png 111x190
brick_3h_pink.9.png 111x190
brick_3h_red.9.png 111x190
brick_3h_violet.9.png 111x190
brick_3h_winered.9.png 113x192
brick_3h_yellow.9.png 111x190
brick_blue_2h_when_9.9.png 413x208
brick_brown_1h_when_9.9.png 414x156
brick_brown_2h_when_9.9.png 413x208
brick_control_1h.9.png 414x156
brick_control_2h.9.png 413x208
brick_control_gold_1h.9.png 414x126
brick_control_gold_2h.9.png 413x178
brick_white_define_2h.9.png 413x176
ic_color_picker.png 48x48
nolb_argus.png 133x133
nolb_default_myprofile.png 133x133
nolb_fenrir.png 133x133
nolb_odin.png 133x133
nolb_tiro.png 133x133
stage_dialog_background_middle.png 720x251
stage_dialog_background_side.png 251x251

Type: drawable-xxhdpi
brick_1h_darkblue.9.png 162x132
brick_1h_darkgreen.9.png 164x134
brick_1h_gold.9.png 164x134
brick_1h_white.9.png 164x134
brick_1h_winered.9.png 166x136
brick_1h_yellow.9.png 164x134
brick_2h_darkgreen.9.png 164x216
brick_2h_gold.9.png 164x216
brick_2h_winered.9.png 166x218
brick_2h_yellow.9.png 164x216
brick_3h_gold.9.png 164x284
brick_3h_winered.9.png 166x286
brick_3h_yellow.9.png 164x284
brick_control_gold_1h.9.png 620x188
brick_control_gold_2h.9.png 620x266
brick_white_define_2h.9.png 620x266
ic_color_picker.png 72x72
nolb_argus.png 200x200
nolb_default_myprofile.png 200x200
nolb_fenrir.png 200x200
nolb_odin.png 200x200
nolb_tiro.png 200x200
